Time(Iteration),UCB1,egreedy_0.1,IMFB
0,8837.65452159432,8653.512664644222,8784.305917285114
1,8750.42462958113,8784.295991846897,8687.976755940044
2,8785.535324340333,8825.050586673033,8712.192360975168
3,8564.689553423455,8743.369518780677,8822.165917584416
4,8784.148582870352,8700.795930843176,8805.130611608138
5,8733.408989517,8481.7761129991,8751.72740620706
6,8755.944081224017,8622.196226479678,8538.569282715383
7,8674.548400379914,8531.41715298066,8509.625023355393
8,8722.049558805713,8741.953288493924,8780.08068010731
9,8606.459383838825,8637.866498689797,8803.992824420724
10,8845.890251162115,8818.018728224477,8603.603489876872
11,8781.420308912398,8692.292900387023,8636.599032255324
