Time(Iteration),UCB1,egreedy_0.1,IMFB
0,8579.1305473717,8651.660639343092,8765.97271207467
1,8663.765542883846,8686.082509112346,8677.911205960832
2,8822.22207322232,8675.10580001136,8722.11157739874
3,8646.5993800818,8667.857441401902,8780.069541722829
4,8855.832244001205,8782.676669396962,8710.660615203231
5,8748.983354660171,8796.9691965621,8703.603763512685
6,8764.494400409614,8713.611975460728,8601.24608707786
7,8709.176215481204,8694.819272103687,8662.255799209626
8,8778.660898688704,8556.012151852845,8605.81873557157
9,8736.153041063888,8586.306243638961,8687.891772787209
10,8676.57253055381,8673.418632022773,8618.768783432582
11,8543.002093615076,8750.312725440122,8642.339536391366
12,8610.348934651754,8653.512664644222,8549.977095246655
13,8643.65792830147,8683.65125498727,8696.53140786073
14,8878.018783638901,8808.1624750649,8612.205732785416
15,8523.950630406745,8732.04874769788,8714.923005746083
16,8802.51200130979,8786.563814720452,8655.017832768588
17,8693.69824349496,8743.235812681756,8591.892064074744
18,8729.186851370883,8831.937071716358,8640.87260587269
19,8727.738544051157,8550.158943229286,8574.33958567508
20,8636.293894812074,8606.38764020905,8672.14202272762
21,8743.323228487154,8550.23748699044,8599.29403758409
22,8660.77431514281,8652.971417796203,8692.130905414038
23,8741.869843293565,8713.600258881175,8787.122600653265
24,8722.126290003242,8599.286484611896,8602.02228693267
25,8851.631335593607,8644.609348597058,8722.124708171663
26,8733.46530190485,8765.97271207467,8724.960401246815
27,8622.27087413576,8633.633683288392,8656.59965208467
28,8534.263326696191,8548.660970186145,8914.809313674272
29,8603.512934735963,8644.630081666162,8741.907611929948
30,8578.962493199622,8720.645189715258,8690.825240612541
31,8638.045054455193,8728.94309007501,8660.250801271603
32,8827.453738749376,8700.650787813405,8754.069017465165
33,8610.769781023782,8680.876527525823,8654.990688648828
34,8919.79495221249,8610.788794524125,8655.081901246069
35,8633.673103897581,8720.602881530629,8726.33839907844
36,8795.487172206547,8761.71947303152,8806.611865183353
37,8666.582632106982,8777.262097827026,8730.614425531654
38,8767.330411572793,8626.51837157726,8675.057460040774
39,8634.936783744417,8715.031353835764,8612.224338897126
40,8741.819727532491,8660.8684134542,8626.396145601975
41,8730.482595598045,8589.215776269053,8871.182178934181
42,8622.196226479678,8782.739015984316,8720.645189715258
43,8630.709846877133,8675.057460040774,8749.00832510799
44,8651.77327343434,8659.496893293577,8806.933334283083
45,8686.339914913771,8640.737372062602,8512.546311771186
46,8782.780962805082,8774.443798908884,8700.787434682898
47,8579.091395514408,8497.87826629136,8696.544346291606
48,8770.204189862947,8861.379786752554,8637.972916116769
49,8724.808383644431,8652.343671646982,8628.30708786429
50,8666.54182412766,8528.495864564868,8649.492795273787
51,8652.322282231291,8764.570349404716,8522.41099613124
52,8691.779653244803,8647.938525977082,8720.602881530629
53,8610.769781023782,8733.4199977603,8724.94680001462
54,8717.68612050997,8730.53357842323,8782.739015984316
55,8819.435857546026,8796.97181681649,8665.20822621941
56,8609.21552719651,8700.787434682898,8640.793086716212
57,8572.778127854257,8747.617960875668,8655.197100753247
58,8739.104375379442,8764.52944710091,8670.709486425563
59,8774.407764773356,8761.669469017423,8680.555996876054
60,8560.323841728848,8782.898055173542,8776.787994334358
61,8741.935842731727,8777.262097827026,8773.03400077571
62,8604.489999994057,8720.139589165095,8750.445687846523
63,8702.007898881062,8678.941029336875,8675.175326706656
64,8702.137032970235,8689.025361854583,8663.77596340152
65,8613.316689811054,8727.014116730768,8686.54139388075
66,8682.319210861388,8629.371102549982,8600.582901048441
