Time(Iteration),UCB1,egreedy_0.1,IMFB
0,1950.1533956586989,1928.6034444381498,1920.2441905648432
1,1920.0385195774588,1943.7870588581832,1929.5737469965231
2,1933.4034385443622,1925.3630976882423,1923.2250095275645
3,1924.3743599164748,1913.3881606250584,1947.0661323245736
4,1932.715979195751,1924.316757348208,1915.0479241650694
5,1933.7008752001136,1909.8441965227632,1943.083456152034
6,1923.1949636742147,1948.1999597888591,1926.2183233844162
7,1929.5166980397908,1930.6897236470368,1945.1796212687916
8,1944.950599442324,1944.150829631806,1946.0703165583998
9,1947.9094210519856,1922.254674827282,1915.0179941537688
10,1939.0149426823696,1914.7177688531551,1930.7199823123894
11,1931.7823948689695,1949.0940549157522,1941.0736152272632
12,1930.5546786853868,1919.0220459119996,1942.9118619362293
13,1942.730116956591,1920.1906088285475,1940.7417414720521
14,1932.715979195751,1935.4786537186912,1929.5006528819088
15,1919.2562740073197,1940.8339301524904,1937.8677986034547
16,1934.4958586251698,1920.1631255760815,1945.1987201369893
17,1931.5111530492468,1941.8266856265343,1938.9049932581318
18,1915.121393295098,1946.1807396567983,1933.6562955608085
19,1931.6481209034168,1936.7263682681341,1945.1386449075753
20,1922.449228557424,1920.1313561428121,1926.4645168101758
21,1920.2973533464976,1917.6626323539722,1945.1542425479424
22,1922.001544339251,1919.8283151983715,1952.1679576756417
23,1924.2991847613266,1927.2923030430334,1914.9098310321356
24,1929.4903375517015,1924.3189734243963,1924.3433965082372
25,1927.3079895868468,1940.808410250804,1932.6829908218801
26,1949.2564221906555,1926.3116443920394,1916.9983543117605
27,1923.32551265008,1933.6189837558932,1925.3217502584614
28,1948.0981444510192,1951.2678489535817,1927.2536613051652
29,1940.9854682791572,1931.6361510702372,1930.7524545244735
30,1937.7928638197175,1934.7788766096537,1924.3590293011146
31,1928.2396117585945,1947.1278980537595,1942.9181157724427
32,1934.8344739444067,1929.5560932250235,1946.9763464407804
33,1939.8617857274178,1917.0148059667683,1928.23126831451
34,1946.111783350366,1932.659140104199,1937.8125271953452
35,1939.861963783766,1926.4841590193435,1937.807580158677
36,1922.1575342193933,1925.1252660571981,1935.888165684286
37,1922.2589947731788,1925.4602373227526,1945.8269185553522
38,1923.3726604118935,1944.9711733416345,1931.7743319763538
39,1935.8030722238748,1935.6836371424006,1930.5044615742593
40,1918.9329494151702,1931.8039854633132,1924.449250593473
41,1942.8858275233943,1927.62123611768,1915.1212111610698
42,1935.7900288234562,1935.8158611610304,1922.111504680998
43,1936.6298406099618,1908.8506555510528,1932.760955247423
44,1924.3970234380251,1926.4772433634375,1915.7450715572097
45,1933.7616370067628,1927.5346903419756,1911.6963388584518
46,1935.7039769186722,1943.0511730925912,1939.8687404154969
47,1918.2135192715307,1926.446999748242,1935.3411779981968
48,1922.4225288354612,1947.0891060044949,1927.2686703117508
49,1933.3019550190008,1935.804816790653,1939.9663182266136
50,1911.944169037552,1926.5098414152342,1930.4867356225113
51,1926.4678578425403,1928.3788761552287,1933.6310491104575
52,1934.7788766096537,1931.3119009213733,1919.0964417496396
53,1923.3259635175411,1929.2444095378896,1932.342505580456
54,1930.505583255484,1932.4093721319625,1932.4747285368276
55,1924.4453125628845,1920.077322496152,1955.412995893944
56,1917.1951323361584,1910.4545550416738,1925.4016267377656
57,1923.3375891759054,1936.7531823197426,1937.651800268669
58,1943.144700485786,1932.7557448312614,1927.5279915260637
