Time(Iteration),UCB1,egreedy_0.1,IMFB
0,256.7521889878185,258.7108623834221,257.7237000114779
1,255.74266541703935,257.7237000114779,257.71871145756506
2,257.71871145756506,257.71871145756506,253.79232386093196
3,258.7093134318138,255.74647677607118,254.75722734837552
4,256.73080164013135,257.7179640120756,257.71871145756506
5,256.73080164013135,256.73080164013135,256.73826194281406
6,261.6826653307363,254.75722734837552,258.70684768065706
7,255.74647677607118,254.76165282853776,259.6997460520036
8,255.74647677607118,259.6997460520036,261.6826653307363
